RSI,MeanToStdDev,PL
24.65717,-1.921025,WeakSell
22.50403,-1.592941,WeakSell
27.56437,-1.813051,WeakBuy
25.15039,-1.670163,WeakBuy
23.76839,-1.368241,WeakSell
29.80045,-1.031908,WeakSell
36.30887,-1.136788,WeakSell
33.9009,-1.104548,WeakSell
31.19582,-1.091019,WeakSell
29.90484,-1.140879,WeakBuy
28.62021,-1.481538,WeakBuy
24.68025,-1.37757,Buy
26.32888,-1.045577,WeakBuy
33.11215,-0.5531278,WeakSell
43.0422,-0.8965595,WeakBuy
38.30193,-0.9848101,WeakBuy
35.23114,-0.9126867,WeakBuy
34.5476,-0.7269849,WeakBuy
38.01643,-0.2783395,WeakBuy
44.44973,-0.1749737,WeakBuy
45.0243,0.3920931,WeakSell
50.03032,0.6315209,WeakSell
49.37314,1.792732,Sell
61.8127,2.065869,Sell
59.66118,1.221568,WeakSell
54.51277,1.056275,WeakSell
53.70241,0.5162876,WeakSell
50.07854,0.2561074,WeakSell
50.20806,0.9846618,Sell
52.85955,1.126521,Sell
55.78781,-0.1980448,WeakSell
45.36312,-0.6775384,WeakSell
44.41029,-1.181777,WeakBuy
41.36277,-1.927266,WeakBuy
36.06815,-1.002148,WeakBuy
41.08295,-1.621743,WeakBuy
38.48052,-1.494428,WeakBuy
39.05808,-1.211958,WeakBuy
41.46301,-1.244744,WeakBuy
42.02817,-0.9274297,WeakBuy
47.64902,0.03580618,WeakSell
55.91998,-0.4725438,WeakBuy
50.5804,0.3866563,WeakSell
55.08154,0.2120231,WeakSell
56.05822,1.000984,Sell
62.21758,1.343848,Sell
64.58228,0.9944683,Sell
61.2922,-0.1128717,WeakSell
50.45358,-1.063777,WeakSell
43.81458,-0.9630791,WeakSell
42.35582,-0.3719561,WeakSell
46.45276,-0.2842004,WeakSell
43.80774,-0.6244561,WeakSell
41.06887,-0.2544621,WeakSell
45.05415,-0.9987259,WeakSell
40.34373,-0.7190243,WeakSell
42.90456,-1.199717,WeakSell
40.4848,-1.831565,WeakBuy
35.11814,-1.173689,WeakSell
39.11327,-0.8283326,WeakSell
43.78572,-1.350806,WeakBuy
41.80642,-0.5816372,WeakSell
48.38874,-0.4440109,WeakSell
51.3422,-0.8278476,WeakSell
46.72754,-0.5196391,WeakSell
50.96058,-0.9171925,WeakSell
47.9737,-1.267346,WeakSell
45.24524,-1.696777,WeakSell
42.79846,-1.883998,WeakBuy
40.41257,-1.32297,WeakSell
41.7034,-1.322316,WeakSell
42.49583,-1.124248,WeakSell
40.41861,-1.816462,WeakBuy
35.02792,-1.736625,WeakBuy
31.18386,-1.456092,WeakBuy
31.44306,-1.091538,WeakBuy
36.29574,-0.5559826,WeakSell
45.1391,-0.1925976,WeakSell
51.23456,0.3581791,Sell
54.66003,-0.299642,WeakSell
47.04953,-0.6117369,WeakSell
44.30307,-0.9302799,WeakSell
43.07987,-0.5471546,WeakSell
44.31929,-0.6759465,WeakSell
45.39724,-1.26649,WeakSell
40.82701,-1.32823,WeakSell
41.54173,-1.23418,WeakSell
44.07491,-2.417978,WeakSell
35.12436,-1.743173,WeakSell
37.42748,-1.487293,WeakSell
39.94544,-2.322081,WeakSell
31.51781,-2.193624,WeakSell
30.37083,-1.701076,WeakSell
35.24862,-1.283796,WeakSell
37.62769,-1.440986,WeakSell
37.59579,-2.300038,WeakBuy
33.36281,-2.245235,WeakBuy
34.072,-2.710113,WeakBuy
31.15852,-2.178784,WeakBuy
31.57068,-1.527099,WeakBuy
38.20978,-2.05108,Buy
33.04815,-1.873408,Buy
35.44833,-1.722259,Buy
35.99149,-1.142059,Buy
42.47121,-0.8076947,Buy
44.95476,-0.8479508,Buy
41.2523,-0.1768093,Buy
48.88341,0.03623564,Buy
48.85669,-0.3886365,Buy
44.71415,0.4856707,Buy
54.15928,0.8521339,Buy
57.2454,0.7740654,Buy
54.24103,2.047232,Buy
62.84737,2.479381,WeakBuy
66.25161,3.297436,WeakBuy
70.80909,2.672144,WeakBuy
68.33784,3.190465,WeakSell
75.24821,2.694578,WeakSell
73.96852,2.480098,WeakSell
74.02675,1.566177,WeakBuy
63.84369,1.159354,WeakBuy
58.75887,0.9935772,Buy
56.4071,0.638394,Buy
50.97583,1.282066,WeakBuy
59.81544,0.9861891,Buy
58.1762,1.477358,WeakBuy
64.25535,1.538141,WeakBuy
67.5448,1.435465,WeakBuy
67.44675,1.581193,WeakBuy
69.16849,1.488639,WeakBuy
71.82678,1.386296,WeakBuy
72.26668,1.457138,WeakBuy
73.97282,1.929746,WeakSell
77.78423,1.710034,WeakBuy
75.20129,1.489425,WeakBuy
73.12415,1.866579,WeakSell
75.60891,1.962412,WeakSell
76.49645,1.895889,WeakSell
78.86442,1.911668,Sell
78.45126,2.033681,Sell
79.19456,1.561781,Sell
71.71507,1.216487,Sell
64.53751,1.471646,Sell
66.7012,1.058165,Sell
59.18196,1.082746,Sell
60.64708,0.09701937,Sell
45.79583,-0.4769414,WeakSell
40.75318,-0.7088535,WeakSell
38.52083,-1.04641,WeakSell
37.96673,-1.82581,WeakBuy
33.11115,-0.6863477,WeakSell
46.69612,-0.5879298,WeakSell
49.55613,-1.08953,WeakSell
43.81239,-1.040843,WeakSell
46.45661,-1.639839,WeakBuy
40.06314,-1.741631,WeakBuy
39.06631,-2.283972,Buy
34.92725,-1.643157,WeakBuy
39.73698,-1.779876,Buy
38.16026,-1.40207,Buy
41.85905,-0.7499927,WeakBuy
48.65619,-0.5270706,WeakBuy
48.87651,-0.2050041,WeakBuy
52.46574,0.000715133,WeakSell
54.53951,-0.2097267,WeakBuy
49.62032,0.161766,WeakSell
52.29399,0.2490364,WeakSell
52.14593,0.1487219,WeakSell
49.38949,0.1621702,WeakSell
47.5063,0.3897179,WeakSell
50.25288,0.1653251,WeakSell
47.24298,-0.2471394,WeakSell
41.08044,0.2285109,WeakSell
45.95299,0.1195633,WeakSell
43.49298,-0.465407,WeakBuy
41.39384,-0.8243254,WeakBuy
40.45052,-0.2429004,WeakBuy
45.378,0,WeakBuy
48.20432,0.5565943,WeakSell
55.33154,1.007676,WeakSell
54.8014,0.1518049,WeakSell
48.30461,0.1314578,WeakSell
50.09788,0.2845373,WeakSell
50.95142,-0.06394976,WeakSell
50.96378,1.567902,Sell
62.17815,1.355899,Sell
64.54285,0.6766819,Sell
57.92088,0.35142,Sell
57.02778,-0.6419512,Sell
50.01408,-3.396903,WeakSell
36.64085,-2.664837,WeakSell
38.79416,-3.027239,WeakSell
34.58829,-2.114953,WeakSell
37.48012,-2.048259,WeakSell
37.55403,-2.556552,WeakBuy
32.03907,-2.189527,WeakBuy
32.5178,-1.636491,WeakSell
