Date,Price,Open,High,Low,Change
2005-11-15,1.1721,1.169,1.1732,1.1641,0.23%
2005-11-14,1.1694,1.1723,1.1774,1.166,-0.26%
2005-11-11,1.1724,1.1685,1.1735,1.1671,0.33%
2005-11-10,1.1686,1.1766,1.1799,1.1677,-0.68%
2005-11-09,1.1766,1.1782,1.1795,1.1717,-0.14%
2005-11-08,1.1782,1.1805,1.1808,1.1709,-0.25%
2005-11-07,1.1812,1.1814,1.1837,1.1772,-0.08%
2005-11-04,1.1822,1.1947,1.1997,1.1801,-1.03%
2005-11-03,1.1945,1.207,1.2087,1.1934,-1.01%
2005-11-02,1.2067,1.2022,1.2085,1.1984,0.47%
2005-11-01,1.201,1.1995,1.2027,1.197,0.18%
2005-10-31,1.1988,1.2057,1.2091,1.1966,-0.61%
2005-10-28,1.2062,1.2138,1.2172,1.2048,-0.63%
2005-10-27,1.2138,1.2062,1.2174,1.2041,0.60%
2005-10-26,1.2066,1.2109,1.214,1.2048,-0.39%
2005-10-25,1.2113,1.198,1.2119,1.1936,1.07%
2005-10-24,1.1985,1.1948,1.2023,1.1921,0.30%
2005-10-21,1.1949,1.2018,1.2079,1.193,-0.56%
2005-10-20,1.2016,1.1989,1.2026,1.1947,0.19%
2005-10-19,1.1993,1.1963,1.2003,1.1873,0.25%
2005-10-18,1.1963,1.2022,1.2026,1.1916,-0.52%
2005-10-17,1.2025,1.2082,1.2122,1.2009,-0.43%
2005-10-14,1.2077,1.2027,1.2109,1.1976,0.42%
2005-10-13,1.2027,1.2026,1.2038,1.1911,0.02%
2005-10-12,1.2024,1.1993,1.2056,1.1953,0.28%
2005-10-11,1.1991,1.2064,1.2071,1.1974,-0.66%
2005-10-10,1.2071,1.2119,1.2155,1.2039,-0.40%
2005-10-07,1.2119,1.2185,1.2185,1.2093,-0.54%
2005-10-06,1.2185,1.1987,1.2208,1.1983,1.75%
2005-10-05,1.1976,1.1919,1.1989,1.1915,0.50%
2005-10-04,1.1917,1.1921,1.1951,1.19,-0.05%
2005-10-03,1.1923,1.2022,1.2033,1.19,-0.89%
2005-09-30,1.203,1.2034,1.209,1.1996,-0.02%
2005-09-29,1.2033,1.2043,1.2079,1.2005,-0.07%
2005-09-28,1.2041,1.2014,1.2058,1.1991,0.21%
2005-09-27,1.2016,1.2074,1.2084,1.1977,-0.49%
2005-09-26,1.2075,1.2035,1.2083,1.201,0.30%
2005-09-23,1.2039,1.2159,1.2172,1.2037,-0.94%
2005-09-22,1.2153,1.2224,1.2271,1.2132,-0.52%
2005-09-21,1.2217,1.2121,1.2241,1.211,0.83%
2005-09-20,1.2117,1.2138,1.2193,1.2109,-0.17%
2005-09-19,1.2138,1.2168,1.2178,1.21,-0.80%
2005-09-16,1.2236,1.2223,1.231,1.2196,0.11%
2005-09-15,1.2222,1.2283,1.2288,1.2191,-0.54%
2005-09-14,1.2288,1.227,1.2337,1.2258,0.19%
2005-09-13,1.2265,1.2277,1.2318,1.2246,-0.12%
2005-09-12,1.228,1.2404,1.2417,1.2272,-1.04%
2005-09-09,1.2409,1.2396,1.2461,1.2374,0.05%
2005-09-08,1.2403,1.2414,1.2458,1.2382,-0.12%
2005-09-07,1.2418,1.2466,1.2537,1.2406,-0.35%
2005-09-06,1.2462,1.2545,1.2546,1.2444,-0.62%
2005-09-05,1.254,1.2536,1.2586,1.251,0.12%
2005-09-02,1.2525,1.2502,1.259,1.2466,0.19%
2005-09-01,1.2501,1.2339,1.2525,1.2325,1.27%
2005-08-31,1.2344,1.2218,1.2359,1.2188,1.03%
2005-08-30,1.2218,1.2221,1.2238,1.2168,-0.11%
2005-08-29,1.2231,1.2285,1.2346,1.2215,-0.42%
2005-08-26,1.2283,1.23,1.2344,1.2271,-0.12%
2005-08-25,1.2298,1.2271,1.2329,1.2256,0.24%
2005-08-24,1.2269,1.2227,1.2282,1.2159,0.31%
2005-08-23,1.2231,1.2222,1.2256,1.2189,0.05%
2005-08-22,1.2225,1.2163,1.2245,1.2156,0.58%
2005-08-19,1.2154,1.2182,1.2197,1.2127,-0.18%
2005-08-18,1.2176,1.2277,1.2296,1.2157,-0.80%
2005-08-17,1.2274,1.2351,1.237,1.2259,-0.72%
2005-08-16,1.2363,1.2369,1.2374,1.2294,-0.06%
2005-08-15,1.237,1.2458,1.2458,1.2344,-0.54%
2005-08-12,1.2437,1.247,1.2487,1.2383,-0.28%
2005-08-11,1.2472,1.2387,1.2479,1.2379,0.70%
2005-08-10,1.2385,1.2377,1.2427,1.2334,0.11%
2005-08-09,1.2371,1.2348,1.2418,1.2329,0.17%
2005-08-08,1.235,1.2343,1.2394,1.2318,-0.11%
2005-08-05,1.2363,1.239,1.2399,1.2313,-0.19%
2005-08-04,1.2387,1.2333,1.2404,1.2298,0.37%
2005-08-03,1.2341,1.2192,1.2345,1.2148,1.16%
2005-08-02,1.2199,1.2176,1.2255,1.2171,0.19%
2005-08-01,1.2176,1.2125,1.2252,1.2117,0.38%
2005-07-29,1.213,1.2127,1.2159,1.2073,-0.02%
2005-07-28,1.2132,1.2065,1.215,1.2033,0.51%
2005-07-27,1.2071,1.2019,1.2089,1.1961,0.49%
2005-07-26,1.2012,1.2067,1.2071,1.198,-0.40%
2005-07-25,1.206,1.2054,1.2089,1.2027,-0.06%
2005-07-22,1.2067,1.2165,1.2191,1.2053,-0.82%
2005-07-21,1.2167,1.2153,1.2259,1.2101,0.19%
2005-07-20,1.2144,1.2033,1.2188,1.1995,0.91%
2005-07-19,1.2035,1.2052,1.2068,1.1952,-0.16%
2005-07-18,1.2054,1.2022,1.209,1.2021,0.16%
2005-07-15,1.2035,1.2085,1.214,1.2012,-0.40%
2005-07-14,1.2083,1.2083,1.2127,1.2056,-0.09%
2005-07-13,1.2094,1.2241,1.2241,1.2071,-1.20%
2005-07-12,1.2241,1.2075,1.2258,1.2052,1.37%
2005-07-11,1.2075,1.1967,1.2087,1.1957,0.87%
